model,train_accuracy,validation_accuracy,test_accuracy
LeNet-5 CNN,0.9981051851296595,0.9981440453980099,0.9976290883650426
AlexNet CNN,0.9984674903905817,0.9983869713930348,0.9983092679324485
ResNet-18 CNN,0.9993003760478743,0.9992906560945274,0.9991643508171871
